provider,state,insurance_type,coverage_level,monthly_rate,deductible,coverage_amount,customer_age_group,rating_factor,last_updated
Liberty Mutual,FL,health,Basic,245.37,250,250000,36-50,0.9,2025-08-22
Progressive,MI,health,Basic,142.45,2500,100000,18-25,0.98,2025-08-30
Travelers,IL,life,Basic,248.4,250,250000,36-50,1.2,2025-09-10
Liberty Mutual,NY,health,Standard,161.46,500,100000,18-25,1.37,2025-09-14
Farmers,OH,home,Standard,321.42,500,250000,18-25,1.4,2025-09-06
Travelers,MI,health,Premium,158.01,500,100000,18-25,1.26,2025-08-26
Progressive,TX,home,Basic,258.35,2500,100000,51-65,0.94,2025-09-16
Liberty Mutual,OH,home,Premium,138.15,1000,500000,51-65,0.89,2025-09-09
Farmers,NC,health,Standard,155.54,1000,250000,65+,1.08,2025-09-11
Liberty Mutual,GA,home,Standard,312.89,2500,100000,26-35,1.1,2025-08-28
StateFarm,OH,auto,Standard,185.84,2500,50000,26-35,1.37,2025-09-10
Nationwide,OH,home,Basic,138.67,250,250000,18-25,1.14,2025-08-22
Travelers,MI,home,Basic,233.64,500,500000,18-25,1.46,2025-08-22
Progressive,TX,home,Standard,295.66,1000,50000,18-25,1.37,2025-08-31
Liberty Mutual,GA,home,Basic,314.88,500,50000,51-65,0.86,2025-09-04
Nationwide,OH,life,Premium,114.89,250,250000,51-65,1.26,2025-09-18
Nationwide,OH,home,Basic,300.79,1000,250000,51-65,1.18,2025-09-17
AmFam,TX,life,Basic,340.47,2500,100000,65+,1.41,2025-09-11
Geico,IL,home,Basic,177.82,1000,500000,36-50,1.45,2025-09-12
Allstate,IL,home,Premium,378.78,1000,500000,26-35,1.4,2025-09-13
Nationwide,CA,life,Premium,315.48,2500,250000,26-35,1.14,2025-09-04
Travelers,FL,life,Premium,381.6,1000,100000,65+,1.05,2025-08-23
Travelers,OH,health,Basic,321.61,500,50000,51-65,0.92,2025-08-26
Allstate,OH,home,Standard,186.65,250,50000,65+,1.33,2025-09-02
Travelers,PA,auto,Standard,282.63,250,250000,36-50,1.36,2025-09-04
Geico,MI,auto,Basic,127.37,500,500000,26-35,1.47,2025-09-11
Progressive,GA,auto,Basic,220.9,250,500000,36-50,1.05,2025-09-18
AmFam,TX,home,Basic,399.2,250,250000,65+,0.93,2025-08-24
Travelers,FL,auto,Basic,389.83,2500,250000,51-65,1.27,2025-09-16
Farmers,FL,life,Basic,268.39,250,250000,18-25,1.28,2025-09-10
Nationwide,CA,health,Basic,358.18,500,500000,65+,1.45,2025-09-17
Farmers,PA,auto,Premium,133.8,250,500000,65+,1.05,2025-09-02
Allstate,OH,health,Premium,257.08,500,50000,51-65,1.18,2025-09-07
Allstate,PA,home,Standard,226.37,2500,100000,65+,1.25,2025-08-28
Liberty Mutual,GA,auto,Basic,362.44,250,500000,18-25,1.21,2025-09-16
Geico,CA,auto,Standard,311.1,250,250000,36-50,1.13,2025-09-05
Farmers,GA,health,Premium,346.5,250,50000,18-25,1.26,2025-09-13
Nationwide,IL,life,Standard,325.06,2500,50000,65+,0.86,2025-09-15
Geico,IL,health,Premium,336.0,1000,50000,65+,1.48,2025-09-15
Progressive,GA,health,Premium,304.7,1000,50000,51-65,0.87,2025-09-09
Travelers,MI,home,Premium,322.84,2500,50000,36-50,1.07,2025-08-26
Travelers,OH,home,Premium,301.33,500,250000,65+,1.5,2025-08-30
Geico,NY,home,Premium,349.55,500,100000,26-35,1.05,2025-09-04
Allstate,PA,home,Basic,279.36,2500,50000,51-65,1.23,2025-09-10
USAA,GA,life,Basic,192.7,500,250000,36-50,0.93,2025-08-22
Liberty Mutual,FL,auto,Basic,95.98,500,250000,18-25,0.93,2025-08-30
Geico,IL,health,Standard,373.08,500,250000,36-50,0.97,2025-08-23
Farmers,NC,auto,Standard,149.83,250,250000,65+,1.29,2025-09-04
Geico,OH,health,Basic,175.1,1000,250000,65+,1.37,2025-08-26
USAA,PA,health,Basic,85.95,250,50000,26-35,1.28,2025-09-10
Allstate,MI,life,Premium,116.33,2500,50000,51-65,1.24,2025-08-22
Progressive,PA,auto,Premium,227.97,500,500000,51-65,0.81,2025-08-23
Farmers,CA,health,Standard,341.91,500,50000,51-65,0.98,2025-09-02
Nationwide,IL,life,Basic,168.28,250,100000,51-65,1.42,2025-09-18
Travelers,PA,auto,Premium,307.15,250,500000,26-35,1.26,2025-09-17
AmFam,MI,life,Premium,190.48,250,500000,36-50,1.4,2025-08-30
Progressive,NY,health,Premium,100.16,2500,100000,36-50,0.86,2025-09-09
StateFarm,FL,auto,Basic,155.25,2500,500000,36-50,1.15,2025-09-10
